cenario,modulo,datahora_sinal,datahora_entrada,datahora_saida,direcao,take,stop,pontos,resultado
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2025-02-19 20:58:00,2025-02-19 21:00:00,2025-02-20 11:52:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2025-02-23 20:58:00,2025-02-23 21:00:00,2025-02-24 06:06:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2025-03-03 03:48:00,2025-03-03 03:50:00,2025-03-03 08:58:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2025-03-07 10:30:00,2025-03-07 10:32:00,2025-03-07 10:32:00,SELL,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2025-03-10 10:30:00,2025-03-10 10:32:00,2025-03-10 10:54:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2025-03-12 20:58:00,2025-03-12 21:00:00,2025-03-13 00:06:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2025-03-17 03:48:00,2025-03-17 03:50:00,2025-03-17 05:48:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2025-03-18 03:48:00,2025-03-18 03:50:00,2025-03-18 05:24:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2025-03-19 20:58:00,2025-03-19 21:00:00,2025-03-20 00:02:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2025-03-21 10:30:00,2025-03-21 10:32:00,2025-03-21 17:00:00,SELL,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2025-03-23 20:58:00,2025-03-23 21:00:00,2025-03-24 04:10:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2025-03-24 10:30:00,2025-03-24 10:32:00,2025-03-24 10:38:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2025-03-26 20:58:00,2025-03-26 21:00:00,2025-03-26 23:04:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2025-04-01 03:48:00,2025-04-01 03:50:00,2025-04-01 04:04:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2025-04-08 03:48:00,2025-04-08 03:50:00,2025-04-08 04:20:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2025-04-14 03:48:00,2025-04-14 03:50:00,2025-04-14 05:00:00,BUY,45.5,117.0,45.5,TAKE
